"TransactionID","AccountID","TransactionAmount","TransactionDate","TransactionType","Location","Channel","CustomerAge","CustomerOccupation","TransactionDuration","LoginAttempts"
"TX000008","AC00069","171.42","2023-05-08 17:47:59","Credit","Indianapolis","Branch",67,"Retired",291,1
"TX000026","AC00041","7.49","2023-10-20 17:53:13","Credit","Houston","Online",65,"Retired",276,1
"TX000027","AC00441","246.93","2023-04-17 16:37:01","Debit","Miami","ATM",23,"Student",158,5
"TX000030","AC00313","56.17","2023-09-20 16:55:42","Debit","Detroit","Branch",27,"Student",283,1
"TX000052","AC00482","424.56","2023-02-21 17:45:55","Debit","Omaha","Online",51,"Engineer",264,1
"TX000074","AC00110","233.92","2023-10-20 16:54:28","Credit","Jacksonville","Online",26,"Student",280,1
"TX000092","AC00310","223.85","2023-10-02 16:36:10","Debit","Kansas City","ATM",53,"Engineer",55,4
"TX000094","AC00373","442.12","2023-12-21 16:37:03","Debit","Los Angeles","Online",19,"Student",260,1
"TX000114","AC00121","213.76","2023-03-01 17:52:14","Credit","Dallas","ATM",78,"Retired",282,1
"TX000133","AC00203","208.04","2023-11-20 17:10:02","Debit","Louisville","Online",47,"Engineer",273,1
"TX000143","AC00163","227.14","2023-07-03 17:42:08","Debit","Charlotte","ATM",18,"Student",294,1
"TX000147","AC00385","973.39","2023-08-30 17:23:20","Debit","Sacramento","Branch",77,"Retired",296,1
"TX000148","AC00161","514.95","2023-04-13 18:37:48","Debit","New York","Online",41,"Doctor",142,5
"TX000152","AC00242","332.93","2023-11-20 16:29:48","Credit","Albuquerque","Branch",35,"Engineer",293,1
"TX000154","AC00442","496.03","2023-11-03 16:45:52","Debit","San Francisco","Branch",61,"Doctor",265,1
"TX000162","AC00227","307.57","2023-01-09 16:12:01","Debit","Detroit","Branch",33,"Doctor",285,1
"TX000167","AC00478","126.21","2023-02-14 16:07:01","Debit","Baltimore","Branch",75,"Retired",268,1
"TX000185","AC00440","201.69","2023-01-03 16:46:36","Debit","Las Vegas","ATM",59,"Doctor",299,1
"TX000227","AC00212","163.68","2023-09-28 16:20:57","Debit","San Diego","Branch",41,"Doctor",292,1
"TX000243","AC00202","173.5","2023-10-23 17:16:20","Debit","Nashville","ATM",21,"Student",282,1
"TX000267","AC00178","66.9","2023-04-17 16:50:45","Credit","Charlotte","Online",79,"Retired",129,4
"TX000275","AC00454","1176.28","2023-12-20 16:08:02","Credit","Kansas City","ATM",54,"Engineer",174,5
"TX000301","AC00119","211.36","2023-11-21 16:23:41","Credit","Fort Worth","Branch",51,"Engineer",286,1
